window_label,event_type,event_label,d_cut,sigma_cut,change_cut_setting,edge_nan_ksstat,effective_change_cut,match_tolerance_ka,n_detected,n_published,n_matched,n_unmatched_detected,n_unmatched_published,precision,recall,f1,median_abs_age_error_ka,mean_abs_age_error_ka
0.6-4,strong_monsoon_start,Strong monsoon starts,0.75,2.0,0.0,False,0.0,0.8,115,87,74,41,13,0.6434782608695652,0.8505747126436781,0.7326732673267327,0.026225000000010823,0.09916789733327211
0.6-4,weak_monsoon_start,Weak monsoon starts,0.75,2.0,0.0,False,0.0,0.8,113,90,73,40,17,0.6460176991150443,0.8111111111111111,0.7192118226600984,0.034700000000043474,0.10793893708296802
0.6-4,strong_monsoon_start,Strong monsoon starts,0.75,2.0,0.2,False,0.2,0.8,112,87,74,38,13,0.6607142857142857,0.8505747126436781,0.7437185929648241,0.026225000000010823,0.09916789733327211
0.6-4,weak_monsoon_start,Weak monsoon starts,0.75,2.0,0.2,False,0.2,0.8,109,90,73,36,17,0.6697247706422018,0.8111111111111111,0.7336683417085427,0.034700000000043474,0.10793893708296802
0.6-4,strong_monsoon_start,Strong monsoon starts,0.75,2.0,0.4,False,0.4,0.8,90,87,74,16,13,0.8222222222222222,0.8505747126436781,0.8361581920903955,0.026225000000010823,0.09859357300894754
0.6-4,weak_monsoon_start,Weak monsoon starts,0.75,2.0,0.4,False,0.4,0.8,93,90,77,16,13,0.8279569892473119,0.8555555555555555,0.8415300546448087,0.034700000000043474,0.10610747458628762
0.6-4,strong_monsoon_start,Strong monsoon starts,0.77,1.0,default,False,0.5534439014047682,0.8,86,87,77,9,10,0.8953488372093024,0.8850574712643678,0.8901734104046243,0.025949999999966167,0.11860229476621928
0.6-4,weak_monsoon_start,Weak monsoon starts,0.77,1.0,default,False,0.5534439014047682,0.8,93,90,79,14,11,0.8494623655913979,0.8777777777777778,0.8633879781420764,0.034700000000043474,0.11093657105524164
0.6-4,strong_monsoon_start,Strong monsoon starts,0.77,1.0,0.0,False,0.0,0.8,124,87,74,50,13,0.5967741935483871,0.8505747126436781,0.7014218009478673,0.02775000000002592,0.12821866740145818
0.6-4,weak_monsoon_start,Weak monsoon starts,0.77,1.0,0.0,False,0.0,0.8,123,90,74,49,16,0.6016260162601627,0.8222222222222222,0.6948356807511736,0.03762500000000557,0.11988719821120876
0.6-4,strong_monsoon_start,Strong monsoon starts,0.77,1.0,0.2,False,0.2,0.8,121,87,74,47,13,0.6115702479338843,0.8505747126436781,0.7115384615384616,0.02775000000002592,0.12821866740145818
0.6-4,weak_monsoon_start,Weak monsoon starts,0.77,1.0,0.2,False,0.2,0.8,115,90,74,41,16,0.6434782608695652,0.8222222222222222,0.7219512195121951,0.03762500000000557,0.11988719821120876
