window_label,event_type,event_label,published_age_ka,published_order,source_file
0.4-4,weak_monsoon_start,Weak monsoon starts,45.73,16,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,48.47,17,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,48.92,18,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,55.23,19,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,56.32,20,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,68.655,21,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,69.575,22,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,70.155,23,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,73.4,24,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,77.51,25,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,88.425,26,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,98.65,27,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,100.35,28,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,105.75,29,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,106.35,30,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,117.45,31,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,120.55,32,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,133.25,33,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,135.55,34,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,139.35,35,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,142.55,36,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,143.85,37,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,147.05,38,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,151.05,39,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,158.95,40,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,162.0,41,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,165.15,42,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,166.8,43,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,170.25,44,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,171.05,45,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,174.85,46,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,179.65,47,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,187.75,48,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,191.75,49,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,193.25,50,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,201.15,51,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,209.25,52,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,221.05,53,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,228.65,54,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,232.65,55,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,234.15,56,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,246.75,57,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,250.05,58,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,252.15,59,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,256.05,60,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,259.65,61,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,276.95,62,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,281.4,63,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,284.7,64,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,307.25,65,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,318.05,66,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,324.15,67,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,341.15,68,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,349.55,69,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,364.35,70,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
