transition_id,age_ka,jump_direction,event_type,window_label,d_cut,sigma_cut,change_cut,change_cut_setting,edge_nan_ksstat,best_for_window
115,77.50971874999999,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
116,88.4242,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
117,98.65,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
118,106.10291867522108,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
119,117.41724390302811,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
120,120.84026548640617,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
121,133.28,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
122,135.5525,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
123,142.523,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
124,144.0105,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
125,147.04000000000002,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
126,158.985,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
127,162.0,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
128,165.17000000000002,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
129,166.8,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
130,170.20999999999998,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
131,171.01999999999998,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
132,174.865,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
133,179.54500000000002,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
134,187.765,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
