window_label,d_cut,sigma_cut,change_cut_setting,edge_nan_ksstat,match_tolerance_ka,n_detected_total,n_published_total,n_matched_total,n_unmatched_detected_total,n_unmatched_published_total,median_abs_age_error_ka,mean_abs_age_error_ka,precision_total,recall_total,f1_total,unmatched_total
0.6-4,0.75,1.5,default,False,0.8,182,177,157,25,20,0.03718749999999815,0.11485758338413109,0.8626373626373627,0.8870056497175142,0.8746518105849582,45
0.6-4,0.7,1.5,default,False,0.8,183,177,157,26,20,0.028500000000022396,0.1013059930503745,0.8579234972677595,0.8870056497175142,0.8722222222222221,46
0.6-4,0.72,1.5,default,False,0.8,183,177,157,26,20,0.028500000000022396,0.10131443055037521,0.8579234972677595,0.8870056497175142,0.8722222222222221,46
0.6-4,0.7,1.0,default,False,0.8,183,177,157,26,20,0.02948902424295774,0.10828615688066465,0.8579234972677595,0.8870056497175142,0.8722222222222221,46
0.6-4,0.72,1.0,default,False,0.8,183,177,157,26,20,0.02948902424295774,0.1083799068806651,0.8579234972677595,0.8870056497175142,0.8722222222222221,46
0.6-4,0.75,2.0,0.4,False,0.8,183,177,151,32,26,0.03046250000002715,0.10235052379761758,0.825136612021858,0.8531073446327684,0.838888888888889,58
0.6-4,0.77,2.0,0.4,False,0.8,182,177,150,32,27,0.03155000000002417,0.10393879648168394,0.8241758241758241,0.847457627118644,0.8356545961002785,59
0.6-4,0.72,2.0,0.4,False,0.8,187,177,151,36,26,0.02866121560224144,0.09970582960858553,0.8074866310160428,0.8531073446327684,0.8296703296703298,62
0.6-4,0.68,2.0,0.4,False,0.8,188,177,151,37,26,0.02866121560224144,0.09970582960858553,0.8031914893617021,0.8531073446327684,0.8273972602739726,63
0.6-4,0.7,2.0,0.4,False,0.8,188,177,151,37,26,0.02866121560224144,0.09970582960858553,0.8031914893617021,0.8531073446327684,0.8273972602739726,63
0.6-4,0.77,1.5,0.4,False,0.8,196,177,153,43,24,0.031475000000000364,0.11549667313472456,0.7806122448979592,0.864406779661017,0.8203753351206434,67
0.6-4,0.77,1.0,0.4,False,0.8,196,177,153,43,24,0.03206250000000921,0.11943469976836406,0.7806122448979592,0.864406779661017,0.8203753351206434,67
0.6-4,0.75,1.0,0.4,False,0.8,198,177,154,44,23,0.04024999999998613,0.12157696398422613,0.7777777777777778,0.8700564971751412,0.8213333333333332,67
0.6-4,0.75,1.5,0.4,False,0.8,198,177,154,44,23,0.040474999999986494,0.11720207622545979,0.7777777777777778,0.8700564971751412,0.8213333333333332,67
0.6-4,0.72,1.5,0.4,False,0.8,200,177,154,46,23,0.03037500000002069,0.10891061188709052,0.77,0.8700564971751412,0.8169761273209548,69
0.6-4,0.7,1.5,0.4,False,0.8,200,177,154,46,23,0.0309999999999917,0.11030175112759662,0.77,0.8700564971751412,0.8169761273209548,69
0.6-4,0.68,1.5,0.4,False,0.8,200,177,154,46,23,0.032350000000008095,0.10954598741451657,0.77,0.8700564971751412,0.8169761273209548,69
0.6-4,0.72,1.0,0.4,False,0.8,201,177,154,47,23,0.034100000000023556,0.1187032167420861,0.7661691542288557,0.8700564971751412,0.8148148148148148,70
0.6-4,0.7,1.0,0.4,False,0.8,201,177,154,47,23,0.034250000000014325,0.12000796357752919,0.7661691542288557,0.8700564971751412,0.8148148148148148,70
0.6-4,0.68,1.0,0.4,False,0.8,200,177,153,47,24,0.039624999999993804,0.12291131512444406,0.765,0.864406779661017,0.8116710875331564,71
0.6-4,0.75,2.0,0.2,False,0.8,221,177,147,74,30,0.03046250000002715,0.10355341720812006,0.665158371040724,0.8305084745762712,0.7386934673366834,104
