history_window_ka,dataset_id,dataset_label,model_id,model_label,terms,bin_width_ka,n_bins,n_events,n_parameters,converged,optimizer_message,log_likelihood,AIC,AICc,BIC,expected_events,max_fitted_rate_per_kyr,mean_fitted_rate_per_kyr,beta_intercept,beta_same_type_history_count,beta_cheng_log_resolution_scaled,beta_lr04_scaled,beta_co2_scaled,beta_pre_phase_sin,beta_pre_phase_cos,pre_phase_amplitude,pre_phase_preferred_rad,pre_phase_preferred_deg,pre_phase_rate_ratio_max_vs_min,delta_AICc,rank_AICc
2.0,weak_monsoon_start,Weak monsoon starts,baseline_co2,Event-process baseline + CO$_2$,same_type_history_count+cheng_log_resolution_scaled+co2_scaled,0.2,3190,99,4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,-423.5173384899804,855.0346769799608,855.0472358496625,879.3057817630763,98.99999726979186,1.037324276499015,0.15517240951378033,-1.911906518531303,-0.47466173189566613,-2.3148947198006495,,-2.5182213982240103,,,,,,,11.311393255135044,4.0
2.0,weak_monsoon_start,Weak monsoon starts,baseline_climate_lr04_co2,Climate-state model,same_type_history_count+cheng_log_resolution_scaled+lr04_scaled+co2_scaled,0.2,3190,99,5,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-423.46173444737593,856.9234688947519,856.9423131158574,887.2623498736464,98.99996722367139,1.067054172317869,0.1551723624195476,-1.9116093801295821,-0.47588641782663155,-2.302227356706899,0.2809585472992431,-2.2662779255860395,,,,,,,13.206470521329948,5.0
2.0,weak_monsoon_start,Weak monsoon starts,baseline_lr04,Event-process baseline + LR04,same_type_history_count+cheng_log_resolution_scaled+lr04_scaled,0.2,3190,99,4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,-426.86819902883417,861.7363980576683,861.74895692737,886.0075028407839,99.00000342416844,0.9791605107179984,0.1551724191601386,-1.8982967840444112,-0.4064412796295996,-2.1604037390629776,1.9904147495070572,,,,,,,,18.013114332842633,6.0
2.0,weak_monsoon_start,Weak monsoon starts,baseline_pre_phase,Event-process baseline + precession phase,same_type_history_count+cheng_log_resolution_scaled+pre_phase_sin+pre_phase_cos,0.2,3190,99,5,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-430.73030289373366,871.4606057874673,871.4794500085728,901.7994867663617,99.00006942085274,0.6264534541165844,0.15517252260321743,-1.892408737619195,-0.3050826263443226,-1.8043526312972935,,,-0.34521168737859076,-0.38557766037081964,0.5175338068955583,3.8718107633772663,221.8384158148428,2.815296582064,27.743607414045414,7.0
2.0,weak_monsoon_start,Weak monsoon starts,history_resolution_baseline,Event-process baseline,same_type_history_count+cheng_log_resolution_scaled,0.2,3190,99,3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,-436.91150299323766,879.8230059864753,879.8305389431608,898.0263345738119,99.00000391973141,0.42661633285015804,0.15517241993688308,-1.8646474040059007,-0.1880320510977074,-1.786202368108557,,,,,,,,,36.09469634863342,8.0
2.0,weak_monsoon_start,Weak monsoon starts,stationary,Stationary,none,0.2,3190,99,1,True,analytic stationary MLE,-442.7929782187854,887.5859564375708,887.5872111427151,893.6537326333496,99.0,0.15517241379310345,0.15517241379310345,-1.8632184332102,,,,,,,,,,,43.85136854818768,9.0
5.0,strong_monsoon_start,Strong monsoon starts,baseline_lr04_pre_phase,Event-process baseline + LR04 + precession phase,same_type_history_count+cheng_log_resolution_scaled+lr04_scaled+pre_phase_sin+pre_phase_cos,0.2,3175,95,6,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-403.7992909857896,819.5985819715792,819.6250971230943,855.9769594395399,95.0000703704167,1.308613778567128,0.14960641003215222,-1.913302234588677,-0.32503801185364944,-2.801244277164251,2.0411292885538277,,0.01526698811985443,0.684352029090916,0.6845223010589981,0.022304976898488052,1.2779810384201662,3.9315926652439943,0.0,1.0
5.0,strong_monsoon_start,Strong monsoon starts,baseline_climate_lr04_co2_pre_phase,Full predictive model,same_type_history_count+cheng_log_resolution_scaled+lr04_scaled+co2_scaled+pre_phase_sin+pre_phase_cos,0.2,3175,95,7,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-403.32700494892265,820.6540098978453,820.6893745962981,863.0954502771328,95.00013695730843,1.247582953005401,0.14960651489339907,-1.892424796578027,-0.3591683619899871,-2.8817903263952247,1.456347071429274,-0.7984981013444344,0.024448870416166703,0.6960983213443704,0.6965275444970407,0.03510829386904049,2.011557064601044,4.0271345327385895,1.0642774732037878,2.0
5.0,strong_monsoon_start,Strong monsoon starts,baseline_co2_pre_phase,Event-process baseline + CO$_2$ + precession phase,same_type_history_count+cheng_log_resolution_scaled+co2_scaled+pre_phase_sin+pre_phase_cos,0.2,3175,95,6,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-404.9502807406679,821.9005614813358,821.9270766328509,858.2789389492965,95.00001161064665,1.0565082649856066,0.1496063174970813,-1.867994138437353,-0.37026073746136284,-2.940225122147703,,-2.0306820983790383,0.07860195300528976,0.6682244804791597,0.6728314969796589,0.11709001056562272,6.708763428552399,3.8407320788360915,2.3019795097566202,3.0
5.0,strong_monsoon_start,Strong monsoon starts,baseline_lr04,Event-process baseline + LR04,same_type_history_count+cheng_log_resolution_scaled+lr04_scaled,0.2,3175,95,4,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-413.3907867886945,834.781573577389,834.794191873919,859.0338252226962,94.9999516621132,0.9545283873037586,0.14960622308994204,-1.928394095564778,-0.1700435884208027,-2.6301263759860096,1.6194375514660422,,,,,,,,15.169094750824684,4.0
