age_ka,d18o_raw,d18o_lowpass_10kyr,d18o_residual_lt10kyr
19.8,-8.191538461538462,-7.786808098619371,-0.40473036291909104
19.9,-7.758837209302305,-7.780667800722974,0.021830591420669343
20.0,-7.563333333333346,-7.774187305446431,0.21085397211308532
20.1,-7.739104477611925,-7.767380378263295,0.028275900651369312
20.2,-7.665,-7.760263968888131,0.09526396888813071
20.3,-7.481551724137916,-7.752858086489291,0.27130636235137473
20.4,-7.604000000000001,-7.745185662838389,0.14118566283838785
20.5,-7.73813559322034,-7.737272404395014,-0.0008631888253258779
20.6,-7.771428571428574,-7.729146634293817,-0.042281937134757364
20.7,-7.9433333333333325,-7.720839125168559,-0.2224942081647736
20.8,-7.3297435897435905,-7.712382923723488,0.38263933397989724
20.9,-7.778974358974365,-7.703813167952219,-0.07516119102214613
21.0,-7.440641025641025,-7.695166897903297,0.2545258722622723
21.1,-7.797777777777778,-7.68648286088713,-0.11129491689064785
21.2,-7.6085714285714285,-7.677801312004362,0.0692298834329339
21.3,-7.356999999999996,-7.669163810855215,0.3121638108552194
21.4,-7.4486075949367105,-7.660613015269421,0.21200542033271041
21.5,-7.946835443037991,-7.652192472876191,-0.2946429701618003
21.6,-7.423444444444443,-7.643946411308157,0.22050196686371404
21.7,-7.496666666666669,-7.63591952780461,0.13925286113794133
21.8,-7.502195121951218,-7.628156778955981,0.1259616570047628
21.9,-7.625104895104903,-7.620703171314716,-0.0044017237901874395
22.0,-8.19450450450452,-7.6136035535804325,-0.5809009509240877
22.1,-7.579285714285709,-7.606902411049945,0.027616696764235726
22.2,-7.374851485148515,-7.600643663018405,0.2257921778698906
22.3,-7.162929292929295,-7.59487046383436,0.43194117090506445
22.4,-7.3151792828685265,-7.589625008334773,0.27444572546624624
22.5,-7.224400000000002,-7.5849483423882615,0.3605483423882596
22.6,-7.688222222222214,-7.580880179240666,-0.10734204298154726
22.7,-7.513018867924528,-7.5774587222965435,0.06443985437201505
22.8,-7.673636363636363,-7.574720494906424,-0.09891586872993852
22.9,-7.893384615384624,-7.572700177682891,-0.3206844377017335
23.0,-7.417575757575757,-7.571430453847128,0.15385469627137116
23.1,-7.4399999999999995,-7.570941863109456,0.13094186310945677
23.2,-7.916296296296326,-7.571262664602667,-0.3450336316936591
23.3,-7.5600000000000005,-7.572418709403315,0.012418709403314132
23.4,-7.825357142857136,-7.574433323187536,-0.2509238196696
23.5,-7.793442622950805,-7.577327199580481,-0.21611542337032397
23.6,-7.508888888888905,-7.581118304780453,0.07222941589154797
23.7,-7.496956521739131,-7.585821794070554,0.08886527233142338
23.8,-7.130000000000001,-7.59144994086321,0.46144994086320956
23.9,-7.216382978723417,-7.598012078942785,0.38162910021936813
24.0,-6.689069767441863,-7.60551455856431,0.9164447911224469
24.1,-6.445652173913048,-7.613960717021403,1.1683085431083544
24.2,-6.736179775280898,-7.623350864206488,0.8871710889255899
24.3,-6.434444444444451,-7.6336822835458475,1.1992378391013965
24.4,-6.8314285714285585,-7.644949248501886,0.8135206770733276
24.5,-6.562000000000006,-7.657143054608144,1.0951430546081387
24.6,-7.956470588235394,-7.670252066759897,-0.2862185214754973
24.7,-7.791818181818185,-7.68426178124735,-0.10755640057083493
24.8,-8.038382352941182,-7.699154901817414,-0.33922745112376873
24.9,-8.042235294117631,-7.714911428914951,-0.32732386520268
25.0,-7.617142857142859,-7.731508761200624,0.11436590405776492
25.1,-7.915471698113223,-7.748921808454446,-0.1665498896587776
25.2,-7.722727272727272,-7.76712311501661,0.04439584228933846
25.3,-7.4749206349206405,-7.78608299295873,0.31116235803808934
25.4,-7.888148148148067,-7.805769664203991,-0.08237848394407621
25.5,-7.598461538461538,-7.826149410820875,0.22768787235933718
25.6,-7.517368421052616,-7.847186732704355,0.3298183116517386
25.7,-7.344285714285735,-7.868844511834572,0.5245587975488375
25.8,-7.722982456140357,-7.89108418226684,0.16810172612648344
25.9,-7.669310344827543,-7.9138659049544815,0.2445555601269387
26.0,-8.085161290322578,-7.937148746437598,-0.1480125438849802
26.1,-7.79267857142857,-7.960890860358093,0.16821228892952345
26.2,-8.010526315789473,-7.985049670701362,-0.025476645088111205
26.3,-8.672686567164211,-8.00958205562734,-0.6631045115368721
26.4,-7.738214285714271,-8.034444530738137,0.29623024502386563
26.5,-8.49,-8.05959343063506,-0.4304065693649406
26.6,-7.96121951219512,-8.084985087643041,0.123765575447921
26.7,-9.3217948717949,-8.11057600661835,-1.2112188651765496
26.8,-8.658333333333337,-8.136323034799947,-0.5220102985333899
26.9,-8.262307692307692,-8.162183525725126,-0.10012416658256562
27.0,-8.32921052631578,-8.18811549632134,-0.14109502999444068
27.1,-8.513999999999996,-8.214077776401801,-0.29992222359819465
27.2,-8.245263157894735,-8.240030149902855,-0.005233007991879646
27.3,-8.561839080459764,-8.265933487283132,-0.29590559317663256
27.4,-8.627361111111098,-8.29174986856093,-0.3356112425501685
27.5,-8.550303030303033,-8.317442696512503,-0.23286033379052995
