driver,driver_label,age_ka,source,value,phase_unwrapped_rad,phase_rad,phase_deg,phase_extrapolated
obl,Obliquity,587.1,data/raw/obl_800_inter100.txt,0.41095,92.43044574081898,4.465851440304775,255.8744394618835,False
obl,Obliquity,587.2,data/raw/obl_800_inter100.txt,0.41079,92.44453360025213,4.4799392997379215,256.6816143497764,False
obl,Obliquity,587.3,data/raw/obl_800_inter100.txt,0.41063,92.45862145968525,4.49402715917104,257.4887892376676,False
obl,Obliquity,587.4,data/raw/obl_800_inter100.txt,0.410469,92.4727093191184,4.508115018604187,258.2959641255605,False
obl,Obliquity,587.5,data/raw/obl_800_inter100.txt,0.410309,92.48679717855154,4.522202878037334,259.10313901345336,False
obl,Obliquity,587.6,data/raw/obl_800_inter100.txt,0.410147,92.50088503798467,4.536290737470466,259.91031390134543,False
obl,Obliquity,587.7,data/raw/obl_800_inter100.txt,0.409986,92.51497289741782,4.550378596903613,260.7174887892383,False
obl,Obliquity,587.8,data/raw/obl_800_inter100.txt,0.409824,92.52906075685094,4.564466456336731,261.5246636771296,False
obl,Obliquity,587.9,data/raw/obl_800_inter100.txt,0.409662,92.54314861628409,4.578554315769878,262.33183856502245,False
obl,Obliquity,588.0,data/raw/obl_800_inter100.txt,0.409499,92.55723647571722,4.592642175203011,263.1390134529145,False
obl,Obliquity,588.1,data/raw/obl_800_inter100.txt,0.409337,92.57132433515036,4.606730034636158,263.9461883408074,False
obl,Obliquity,588.2,data/raw/obl_800_inter100.txt,0.409174,92.58541219458351,4.6208178940693045,264.75336322870027,False
obl,Obliquity,588.3,data/raw/obl_800_inter100.txt,0.409011,92.59950005401663,4.634905753502423,265.5605381165915,False
obl,Obliquity,588.4,data/raw/obl_800_inter100.txt,0.408848,92.61358791344978,4.64899361293557,266.3677130044844,False
obl,Obliquity,588.5,data/raw/obl_800_inter100.txt,0.408685,92.62767577288291,4.663081472368702,267.17488789237643,False
obl,Obliquity,588.6,data/raw/obl_800_inter100.txt,0.408521,92.64176363231606,4.677169331801849,267.98206278026936,False
obl,Obliquity,588.7,data/raw/obl_800_inter100.txt,0.408358,92.6558514917492,4.691257191234996,268.78923766816223,False
obl,Obliquity,588.8,data/raw/obl_800_inter100.txt,0.408194,92.66993935118232,4.7053450506681145,269.59641255605345,False
obl,Obliquity,588.9,data/raw/obl_800_inter100.txt,0.408031,92.68402721061547,4.719432910101261,270.4035874439463,False
obl,Obliquity,589.0,data/raw/obl_800_inter100.txt,0.407868,92.6981150700486,4.733520769534394,271.2107623318384,False
obl,Obliquity,589.1,data/raw/obl_800_inter100.txt,0.407704,92.71220292948175,4.747608628967541,272.01793721973127,False
obl,Obliquity,589.2,data/raw/obl_800_inter100.txt,0.407541,92.7262907889149,4.761696488400688,272.82511210762414,False
obl,Obliquity,589.3,data/raw/obl_800_inter100.txt,0.407378,92.74037864834801,4.775784347833806,273.6322869955154,False
obl,Obliquity,589.4,data/raw/obl_800_inter100.txt,0.407215,92.75446650778116,4.789872207266953,274.4394618834083,False
obl,Obliquity,589.5,data/raw/obl_800_inter100.txt,0.407052,92.76855436721429,4.8039600667000855,275.24663677130036,False
obl,Obliquity,589.6,data/raw/obl_800_inter100.txt,0.406889,92.78264222664744,4.818047926133232,276.05381165919323,False
obl,Obliquity,589.7,data/raw/obl_800_inter100.txt,0.406727,92.79673008608059,4.832135785566379,276.8609865470861,False
obl,Obliquity,589.8,data/raw/obl_800_inter100.txt,0.406565,92.8108179455137,4.8462236449994975,277.6681614349774,False
obl,Obliquity,589.9,data/raw/obl_800_inter100.txt,0.406403,92.82490580494685,4.860311504432644,278.47533632287025,False
obl,Obliquity,590.0,data/raw/obl_800_inter100.txt,0.406242,92.83899366437998,4.874399363865777,279.28251121076227,False
obl,Obliquity,590.1,data/raw/obl_800_inter100.txt,0.406081,92.85308152381313,4.888487223298924,280.0896860986552,False
obl,Obliquity,590.2,data/raw/obl_800_inter100.txt,0.40592,92.86716938324626,4.902575082732056,280.8968609865472,False
obl,Obliquity,590.3,data/raw/obl_800_inter100.txt,0.40576,92.8812572426794,4.916662942165189,281.7040358744393,False
obl,Obliquity,590.4,data/raw/obl_800_inter100.txt,0.4056,92.89534510211254,4.930750801598336,282.51121076233215,False
obl,Obliquity,590.5,data/raw/obl_800_inter100.txt,0.40544,92.90943296154568,4.9448386610314685,283.31838565022423,False
obl,Obliquity,590.6,data/raw/obl_800_inter100.txt,0.405281,92.92352082097882,4.958926520464615,284.1255605381171,False
obl,Obliquity,590.7,data/raw/obl_800_inter100.txt,0.405123,92.93760868041196,4.973014379897748,284.9327354260092,False
obl,Obliquity,590.8,data/raw/obl_800_inter100.txt,0.404965,92.95169653984509,4.987102239330881,285.73991031390125,False
obl,Obliquity,590.9,data/raw/obl_800_inter100.txt,0.404808,92.96578439927822,5.001190098764013,286.5470852017933,False
obl,Obliquity,591.0,data/raw/obl_800_inter100.txt,0.404651,92.97987225871137,5.01527795819716,287.3542600896862,False
obl,Obliquity,591.1,data/raw/obl_800_inter100.txt,0.404495,92.99396011814451,5.029365817630307,288.16143497757906,False
obl,Obliquity,591.2,data/raw/obl_800_inter100.txt,0.40434,93.00804797757765,5.0434536770634395,288.96860986547114,False
obl,Obliquity,591.3,data/raw/obl_800_inter100.txt,0.404185,93.02213583701078,5.057541536496572,289.7757847533632,False
obl,Obliquity,591.4,data/raw/obl_800_inter100.txt,0.404031,93.03622369644391,5.071629395929705,290.58295964125523,False
