age_ka,age_uncertainty_2sigma_kyr,uncertainty_status,uncertainty_method,source
4.2459145,0.0501304347826086,ok,depth_linear_between_controls,age_scale_uncertainty/cheng2016_composite_age_uncertainty_from_best_match.csv
4.272913,0.051298245614035,ok,depth_linear_between_controls,age_scale_uncertainty/cheng2016_composite_age_uncertainty_from_best_match.csv
4.3052815,0.0545438596491228,ok,depth_linear_between_controls,age_scale_uncertainty/cheng2016_composite_age_uncertainty_from_best_match.csv
4.33765,0.0577894736842105,ok,depth_linear_between_controls,age_scale_uncertainty/cheng2016_composite_age_uncertainty_from_best_match.csv
4.3700185000000005,0.0610350877192982,ok,depth_linear_between_controls,age_scale_uncertainty/cheng2016_composite_age_uncertainty_from_best_match.csv
4.402387,0.0642807017543859,ok,depth_linear_between_controls,age_scale_uncertainty/cheng2016_composite_age_uncertainty_from_best_match.csv
4.4347555000000005,0.0675263157894736,ok,depth_linear_between_controls,age_scale_uncertainty/cheng2016_composite_age_uncertainty_from_best_match.csv
4.467124,0.0707719298245614,ok,depth_linear_between_controls,age_scale_uncertainty/cheng2016_composite_age_uncertainty_from_best_match.csv
4.499492500000001,0.0740175438596491,ok,depth_linear_between_controls,age_scale_uncertainty/cheng2016_composite_age_uncertainty_from_best_match.csv
4.531861,0.0772631578947368,ok,depth_linear_between_controls,age_scale_uncertainty/cheng2016_composite_age_uncertainty_from_best_match.csv
4.564229500000001,0.0805087719298245,ok,depth_linear_between_controls,age_scale_uncertainty/cheng2016_composite_age_uncertainty_from_best_match.csv
4.596598,0.0837543859649122,ok,depth_linear_between_controls,age_scale_uncertainty/cheng2016_composite_age_uncertainty_from_best_match.csv
4.629035,0.087,ok,depth_exact_control,age_scale_uncertainty/cheng2016_composite_age_uncertainty_from_best_match.csv
4.67979,0.0841698113207547,ok,depth_linear_between_controls,age_scale_uncertainty/cheng2016_composite_age_uncertainty_from_best_match.csv
4.730545,0.0813396226415094,ok,depth_linear_between_controls,age_scale_uncertainty/cheng2016_composite_age_uncertainty_from_best_match.csv
4.7813,0.0785094339622641,ok,depth_linear_between_controls,age_scale_uncertainty/cheng2016_composite_age_uncertainty_from_best_match.csv
4.832055,0.0756792452830188,ok,depth_linear_between_controls,age_scale_uncertainty/cheng2016_composite_age_uncertainty_from_best_match.csv
4.88281,0.0728490566037735,ok,depth_linear_between_controls,age_scale_uncertainty/cheng2016_composite_age_uncertainty_from_best_match.csv
4.933565,0.0700188679245283,ok,depth_linear_between_controls,age_scale_uncertainty/cheng2016_composite_age_uncertainty_from_best_match.csv
