realization_id,catalogue_kind,event_type,event_label,n_events,rayleigh_pre_n_phase_events_used,rayleigh_pre_n_extrapolated,rayleigh_pre_mean_phase_deg,rayleigh_pre_mean_resultant_length,rayleigh_pre_z,rayleigh_pre_p_value,n_hazard_bins_after_history_filter,n_hazard_events_after_history_filter,precession_phase_after_adjusted_climate_LR_statistic,precession_phase_after_adjusted_climate_LR_p_value,precession_phase_after_adjusted_climate_delta_AICc,precession_phase_after_adjusted_climate_bits_per_event,full_vs_adjusted_baseline_LR_statistic,full_vs_adjusted_baseline_LR_p_value,full_vs_adjusted_baseline_delta_AICc,full_model_converged,full_model_log_likelihood,adjusted_climate_model_log_likelihood,adjusted_baseline_log_likelihood,stationary_log_likelihood,full_model_pre_phase_preferred_deg,full_model_pre_phase_rate_ratio_max_vs_min
327,age_randomized,strong_monsoon_start,Strong monsoon starts,96,96,0,27.889550653792057,0.2115115559070121,4.29476527509169,0.013286482565360927,3175,95,13.020597531804697,0.0014880350824968685,-9.004166250833805,0.09886711309760901,26.24687294966634,2.821657756079041e-05,-18.219076841563606,True,-408.588833235895,-415.09913200179733,-421.71226971072815,-428.372671873994,7.777404730298812,3.015899641594401
327,age_randomized,weak_monsoon_start,Weak monsoon starts,100,100,0,220.0128925127276,0.22811610121133305,5.2036955631859145,0.005265885709878905,3175,98,12.024078768674713,0.0024490884513337367,-8.00764748770382,0.08850550413686367,29.712609561058912,5.600035721817928e-06,-21.684813452956178,True,-420.7846363737192,-426.79667575805655,-435.64094115424865,-438.85335240031,228.20174938848865,2.8789645591882067
328,age_randomized,strong_monsoon_start,Strong monsoon starts,96,96,0,26.42845172193634,0.2239463424892776,4.814588574175183,0.007822198276716597,3175,95,17.48141784695906,0.00015994046216025274,-13.46498656598817,0.13273870966060872,33.295258578093126,1.039232775845928e-06,-25.26746246999039,True,-404.9787596121768,-413.71946853565635,-421.6263889012234,-428.3726718739932,1.3302064056671976,3.746787757292642
328,age_randomized,weak_monsoon_start,Weak monsoon starts,100,100,0,222.63514778789002,0.22832360322877843,5.213166779137264,0.005215166288938612,3175,98,14.110698220542531,0.0008627814786247829,-10.09426693957164,0.10386446095029302,36.344646128199656,2.457735306578066e-07,-28.316850020096922,True,-416.50495455646916,-423.5603036667404,-434.677277620569,-438.85335240030963,229.04197846279754,3.156068989532591
329,age_randomized,strong_monsoon_start,Strong monsoon starts,96,96,0,23.027848083259773,0.22845156648124001,5.010251349862313,0.006405540181798462,3175,95,13.964480302419588,0.0009282215158765481,-9.948049021448696,0.10603413937311765,24.77823292155267,5.5747706456955455e-05,-16.750436813449937,True,-410.4327763179957,-417.4150164692055,-422.82189277877205,-428.37267187399425,5.958721867296857,3.169166336743854
329,age_randomized,weak_monsoon_start,Weak monsoon starts,100,100,0,228.78160959407114,0.2403823142520865,5.778365700518887,0.0029245160694783647,3175,98,14.290203132436204,0.0007887181177057073,-10.273771851465312,0.10518574077786552,35.97464528315936,2.928658699452058e-07,-27.946849175056627,True,-416.2602426073992,-423.4053441736173,-434.2475652489789,-438.85335240031156,234.7884239756298,3.2101159430303694
330,age_randomized,strong_monsoon_start,Strong monsoon starts,96,96,0,24.433892419225455,0.1961158577224109,3.6922972464189048,0.02450513948934649,3175,95,12.120783054623189,0.002333487084726507,-8.104351773652297,0.09203470318208345,26.387551532713246,2.6431020354938294e-05,-18.359755424610512,True,-408.8013345485702,-414.8617260758818,-421.9951103149268,-428.3726718739938,2.156532300696905,2.8968727814095936
330,age_randomized,weak_monsoon_start,Weak monsoon starts,100,100,0,227.62045408854124,0.2442288559221614,5.964773406504787,0.0024156589914685407,3175,98,15.310222841888958,0.00047361707522172833,-11.293791560918066,0.11269378861682722,37.411100653104654,1.4820787497311583e-07,-29.38330454500192,True,-414.8487489785488,-422.5038603994933,-433.55429930510115,-438.85335240030963,234.3193235529718,3.3149913563228064
331,age_randomized,strong_monsoon_start,Strong monsoon starts,96,96,0,23.167935867780944,0.23122324504427513,5.132562148685271,0.005652825361982015,3175,95,18.376728115643232,0.00010222195720489114,-14.36029683467234,0.13953691852738567,32.749494665481166,1.3441758503392825e-06,-24.72169855737843,True,-404.8190184776561,-414.0073825354777,-421.19376581039666,-428.37267187399397,0.6083903232578711,3.8303670303684147
331,age_randomized,weak_monsoon_start,Weak monsoon starts,100,100,0,223.38732965366648,0.208834226201559,4.361173403320391,0.012431978007816306,3175,98,12.276983625884213,0.0021581760982670633,-8.260552344913322,0.09036705813335796,38.34140493897053,9.527758194002781e-08,-30.313608830867793,True,-414.72958670943285,-420.86807852237496,-433.9002891789181,-438.8533524003106,230.53185411905235,2.8779367153775506
