realization_id,sampled_age_ka,event_index,event_type,event_label,event_short_label,published_start_age_ka,age_error_2sigma_kyr,age_sigma_kyr,sampling_lower_bound_ka,sampling_upper_bound_ka,truncated_gaussian_mass_kept,sampled_minus_published_ka
1,168.73210719561663,39,strong_monsoon_start,Strong monsoon starts,Strong,168.75,1.69508687338656,0.84754343669328,167.05491312661343,169.15,0.6587694186750004,-0.017892804383365046
1,169.18547906355013,40,strong_monsoon_start,Strong monsoon starts,Strong,169.55,1.6993330350664886,0.8496665175332443,169.15,171.2493330350665,0.6583484209548963,-0.36452093644987826
1,172.5183910056168,41,strong_monsoon_start,Strong monsoon starts,Strong,173.15,1.718572776565044,0.859286388282522,171.43142722343495,174.7,0.941620288289595,-0.6316089943832139
1,176.37242297705163,42,strong_monsoon_start,Strong monsoon starts,Strong,176.25,1.7353147967798348,0.8676573983899174,174.7,177.1,0.7993546910073295,0.12242297705162741
1,178.57390662763555,43,strong_monsoon_start,Strong monsoon starts,Strong,177.95,1.7445650340207481,0.8722825170103741,177.1,179.69456503402074,0.8123345148526029,0.6239066276355629
1,181.8725771484379,44,strong_monsoon_start,Strong monsoon starts,Strong,182.55,1.7698430970728762,0.8849215485364381,180.78015690292713,184.3198430970729,0.954499736103642,-0.6774228515621132
1,191.53430696366476,45,strong_monsoon_start,Strong monsoon starts,Strong,190.65,1.8152480610294899,0.9076240305147449,188.83475193897053,191.7,0.8535864514044378,0.8843069636647556
1,193.28391995006842,46,strong_monsoon_start,Strong monsoon starts,Strong,192.75,1.8272086681819513,0.9136043340909756,191.7,194.57720866818195,0.852032486998164,0.5339199500684231
1,197.76977358529828,47,strong_monsoon_start,Strong monsoon starts,Strong,198.95,1.862982733400893,0.9314913667004465,197.0870172665991,200.81298273340087,0.9544997361036405,-1.180226414701707
1,219.11512964081544,48,strong_monsoon_start,Strong monsoon starts,Strong,219.05,1.9838468409973211,0.9919234204986606,217.06615315900268,221.03384684099734,0.9544997361036427,0.06512964081542805
1,224.258433152321,49,strong_monsoon_start,Strong monsoon starts,Strong,225.2,2.022371417999161,1.0111857089995806,223.17762858200084,227.22237141799914,0.9544997361036407,-0.9415668476789847
1,230.74884097629217,50,strong_monsoon_start,Strong monsoon starts,Strong,230.75,2.0577792538558883,1.0288896269279442,228.6922207461441,232.8077792538559,0.9544997361036427,-0.0011590237078280552
1,242.1408683257638,51,strong_monsoon_start,Strong monsoon starts,Strong,241.65,2.1291334523767897,1.0645667261883949,239.52086654762323,243.77913345237678,0.9544997361036403,0.4908683257637847
1,248.22290160379836,52,strong_monsoon_start,Strong monsoon starts,Strong,248.25,2.173535986415324,1.086767993207662,246.07646401358468,249.7,0.8861858549931005,-0.027098396201637343
1,252.17044764555214,53,strong_monsoon_start,Strong monsoon starts,Strong,251.15,2.193337899555148,1.096668949777574,249.7,253.34333789955517,0.884196706752751,1.0204476455521387
1,260.14102754603624,54,strong_monsoon_start,Strong monsoon starts,Strong,258.75,2.246092667862323,1.1230463339311616,256.50390733213766,260.99609266786234,0.9544997361036434,1.3910275460362413
1,264.8985569465297,55,strong_monsoon_start,Strong monsoon starts,Strong,264.0,2.2832749056461275,1.1416374528230637,261.7167250943539,266.2832749056461,0.9544997361036414,0.898556946529709
1,272.34789208474797,56,strong_monsoon_start,Strong monsoon starts,Strong,272.85,2.347351604366262,1.173675802183131,270.50264839563374,275.1973516043663,0.9544997361036434,-0.5021079152520542
1,294.0297551121281,57,strong_monsoon_start,Strong monsoon starts,Strong,293.9,2.5070790985301317,1.2535395492650658,291.39292090146984,296.4070790985301,0.9544997361036425,0.12975511212812307
1,313.8187883253923,58,strong_monsoon_start,Strong monsoon starts,Strong,315.45,2.681860411160562,1.340930205580281,312.7681395888394,315.9,0.6086590567370295,-1.6312116746076981
1,317.248672550742,59,strong_monsoon_start,Strong monsoon starts,Strong,316.35,2.6894193684185512,1.3447096842092756,315.9,319.0394193684186,0.6083033161017523,0.8986725507419919
1,332.0137231971272,60,strong_monsoon_start,Strong monsoon starts,Strong,332.45,2.8282977838193006,1.4141488919096503,329.62170221618067,333.25,0.6914548399626202,-0.4362768028727828
1,333.9486698397931,61,strong_monsoon_start,Strong monsoon starts,Strong,334.05,2.8424852029959453,1.4212426014979727,333.25,335.70000000000005,0.5904144121642969,-0.10133016020688501
1,339.1572246633879,62,strong_monsoon_start,Strong monsoon starts,Strong,337.35,2.8719719193300244,1.4359859596650122,335.70000000000005,340.22197191933003,0.8519793625192855,1.807224663387899
1,350.73197779649087,63,strong_monsoon_start,Strong monsoon starts,Strong,351.45,3.0014457948044644,1.5007228974022322,348.44855420519553,354.45144579480444,0.9544997361036409,-0.7180222035091219
1,365.2992346266625,64,strong_monsoon_start,Strong monsoon starts,Strong,365.65,3.137736976150992,1.568868488075496,362.51226302384896,366.875,0.7597949536051338,-0.3507653733374809
1,368.6045128939561,65,strong_monsoon_start,Strong monsoon starts,Strong,368.1,3.161870401082037,1.5809352005410184,366.875,369.425,0.5798041225794117,0.5045128939560755
1,370.2606483623915,66,strong_monsoon_start,Strong monsoon starts,Strong,370.75,3.188182898148261,1.5940914490741305,369.425,373.35,0.7456253901820709,-0.489351637608479
1,376.63773096797183,67,strong_monsoon_start,Strong monsoon starts,Strong,375.95,3.2404530201695816,1.6202265100847908,373.35,376.7,0.62400295457186,0.6877309679718451
1,378.6803092063572,68,strong_monsoon_start,Strong monsoon starts,Strong,377.45,3.255689599150716,1.627844799575358,376.7,380.70568959915073,0.654754379327813,1.2303092063572194
