age_ka,d18o_raw,d18o_precession_band,d18o_highfreq_lt1kyr,d18o_precession_plus_highfreq,d18o_precession_band_plus_mean,d18o_highfreq_lt1kyr_plus_mean
13.4,-10.196319999999936,-0.321125925011749,-0.4840539737124181,-9.516813248548607,-9.032759274836188,-9.195687323536857
13.5,-9.27476000000001,-0.30750887085667283,0.4299543143826928,-8.589187906298418,-9.019142220681111,-8.281679035441746
13.6,-9.682,-0.2935883075076771,-0.01171509462542156,-9.016936751957537,-9.005221657332116,-8.72334844444986
13.7,-10.072222222222228,-0.2793759759573736,-0.4555077508441139,-9.446517076625927,-8.991009325781812,-9.167141100668552
13.8,-9.69200000000001,-0.26488391021862234,-0.13665650754923658,-9.113173767592297,-8.97651726004306,-8.848289857373675
13.9,-8.998199999999995,-0.2501244265913357,0.4981247594351591,-8.463633016980616,-8.961757776415775,-8.21350859038928
14.0,-9.138111111111112,-0.23511011264098844,0.30404405145991287,-8.642699411005514,-8.946743462465427,-8.407589298364526
14.1,-9.682115384615384,-0.2198538158992368,-0.29885168148443353,-9.23033884720811,-8.931487165723675,-9.010485031308873
14.2,-9.144678571428653,-0.2043686322973372,0.15449579734984537,-8.76150618477193,-8.916001982121776,-8.557137552474593
14.3,-9.351714285714296,-0.1886678943433291,-0.18599609680310608,-9.086297340970875,-8.900301244167768,-8.897629446627544
14.4,-9.034714285714273,-0.1727651590542132,-0.06939009667497505,-8.953788605553626,-8.884398508878652,-8.781023446499415
14.5,-8.587735294117646,-0.15667419565460794,0.10825476211497173,-8.760052783364076,-8.868307545479047,-8.603378587709466
14.6,-9.027,-0.14040897305361014,-0.6517581142582447,-9.503800437136293,-8.852042322878049,-9.363391464082683
14.7,-7.428740740740665,-0.12398364711181568,0.6085479994340611,-8.227068997502194,-8.835616996936254,-8.103085350390378
14.8,-7.622459459459472,-0.10741254771067432,0.10163395937964595,-8.717411938155466,-8.819045897535114,-8.609999390444793
14.9,-7.688442622950818,-0.09071016563655873,-0.21494688607859214,-9.01729040153959,-8.802343515460997,-8.926580235903032
15.0,-7.364142857142859,-0.07389113929212078,-0.05566320353334048,-8.8411876926499,-8.78552448911656,-8.76729655335778
15.1,-6.917350877192971,-0.05697024124768984,0.31333949241115583,-8.455264098660972,-8.768603591072129,-8.398293857413282
15.2,-7.263974358974389,-0.03996236464563467,-0.044232995729772254,-8.795828710199846,-8.751595714470074,-8.75586634555421
15.3,-7.11748780487805,-0.022882509470766046,0.12136940850006789,-8.613146450795137,-8.734515859295204,-8.590263941324372
15.4,-7.031124999999998,-0.005745768699998502,0.21520179287941377,-8.502177325645023,-8.717379118524438,-8.496431556945025
15.5,-7.700176470588235,0.011432685655381504,-0.48996894452175827,-9.190169608690816,-8.700200664169056,-9.201602294346197
15.6,-7.582899999999948,0.028637616601379007,-0.4616277075728672,-9.144623440795927,-8.68299573322306,-9.173261057397307
15.7,-7.090918918918974,0.04585373629332163,-0.09280643304895966,-8.758586046580076,-8.665779613531116,-8.804439782873398
15.8,-6.5417,0.06306572023460631,0.33880878949782023,-8.309758840092012,-8.648567629589833,-8.372824560326618
15.9,-6.556897959183677,0.08025822152843501,0.25579539103184734,-8.375579737264156,-8.631375128296003,-8.455837958792591
16.0,-6.663094594594597,0.09741588516875208,0.16078444800180425,-8.453433016653882,-8.614217464655686,-8.550848901822635
