realization_id,catalogue_kind,event_type,event_label,n_events,lohmann_event_count_ES,lohmann_poisson_ES_p_value,lohmann_fixed_n_ES_p_value,rayleigh_pre_n_phase_events_used,rayleigh_pre_n_extrapolated,rayleigh_pre_mean_phase_deg,rayleigh_pre_mean_resultant_length,rayleigh_pre_z,rayleigh_pre_p_value,n_hazard_bins_after_history_filter,n_hazard_events_after_history_filter,precession_phase_after_adjusted_climate_LR_statistic,precession_phase_after_adjusted_climate_LR_p_value,precession_phase_after_adjusted_climate_delta_AICc,precession_phase_after_adjusted_climate_bits_per_event,full_vs_adjusted_baseline_LR_statistic,full_vs_adjusted_baseline_LR_p_value,full_vs_adjusted_baseline_delta_AICc,full_model_converged,full_model_log_likelihood,adjusted_climate_model_log_likelihood,adjusted_baseline_log_likelihood,stationary_log_likelihood,full_model_pre_phase_preferred_deg,full_model_pre_phase_rate_ratio_max_vs_min
5,age_randomized,strong_monsoon_start,Strong monsoon starts,96,2.0208522759755856,0.06818636272745451,0.04239152169566087,96,0,14.901443759435283,0.24210411252166478,5.62698252479068,0.003407474960157699,3175,95,18.813349744140282,8.217373174909281e-05,-14.79691846316939,0.14285224409674124,30.623992423469417,3.6525119897930104e-06,-22.596196315366683,True,-407.1279780556907,-416.5346529277608,-422.4399742674254,-428.3726718739942,355.85094501661916,3.9103629495228818
5,age_randomized,weak_monsoon_start,Weak monsoon starts,100,2.174798720795902,0.02659468106378724,0.013197360527894421,100,0,230.66170734735692,0.21887395971058266,4.790581023938976,0.008027955382579128,3175,98,13.29871979751033,0.0012948506757825564,-9.282288516539438,0.09788774031653079,38.3707790813188,9.395682318498381e-08,-30.342982973216067,True,-415.10430077399013,-421.7536606727453,-434.28969031464953,-438.85335240030986,234.79193403426498,3.058352559212597
6,age_randomized,strong_monsoon_start,Strong monsoon starts,96,2.020373495567845,0.0683863227354529,0.04239152169566087,96,0,18.624935295076856,0.23421333647119277,5.266165150172943,0.00493084381847645,3175,95,16.588939960771086,0.00024989493701177136,-12.572508679800194,0.12596200744741687,31.030329005487715,3.018092697711804e-06,-23.00253289738498,True,-405.4202848471407,-413.71475482752624,-420.93544934988455,-428.37267187399516,0.5825351309518081,3.537320415535831
6,age_randomized,weak_monsoon_start,Weak monsoon starts,100,2.1697328053541796,0.027794441111777646,0.014397120575884824,100,0,227.1174099026852,0.22166880116674503,4.913705741070194,0.007080525582335877,3175,98,12.226375813070717,0.0022134831758186873,-8.209944532099826,0.08999454976307088,31.068942720305472,2.963842513048665e-06,-23.041146612202738,True,-421.0943178421853,-427.2075057487207,-436.62878920233806,-440.2396467614301,232.66635164141903,2.908842262829169
7,age_randomized,strong_monsoon_start,Strong monsoon starts,96,1.9723172849286317,0.10277944411117776,0.0665866826634673,96,0,22.597559018616018,0.21017364320100684,4.240604188452877,0.014039283495625297,3175,95,13.705323141340841,0.0010566396259517727,-9.68889186036995,0.10406632489364832,24.958177097620364,5.129336965224932e-05,-16.93038098951763,True,-410.22477468980514,-417.07743626047557,-422.7038632386153,-428.37267187399436,1.5425192486265276,3.142010085138589
7,age_randomized,weak_monsoon_start,Weak monsoon starts,100,2.161561620110858,0.030193961207758448,0.015996800639872025,100,0,227.26166701103858,0.23695631587422117,5.614829563268367,0.0034579482076756087,3175,99,16.679992482365833,0.00023877324044021243,-12.663561201394941,0.12153607291098172,43.90378728934502,6.717880057474713e-09,-35.875991181242284,True,-415.3023521891328,-423.64234843031574,-437.2542458338053,-442.32636305802794,231.5379210724717,3.457894160724438
8,age_randomized,strong_monsoon_start,Strong monsoon starts,96,2.0001612318112985,0.08078384323135374,0.05078984203159368,96,0,20.273964541464665,0.2684554209833718,6.918558053314499,0.0009021874756468497,3175,95,20.733683192212425,3.145849197675509e-05,-16.717251911241533,0.1574335890566722,32.26915682305719,1.6854468095436906e-06,-24.241360714954453,True,-405.0931237021983,-415.4599652983045,-421.2277021137269,-428.3726718739956,3.5755750213392288,4.208533806156277
8,age_randomized,weak_monsoon_start,Weak monsoon starts,100,2.1974783359028445,0.022595480903819236,0.009998000399920015,100,0,231.0179749971695,0.2294313393588611,5.2638739480000885,0.004951776636582812,3175,98,15.008019201573347,0.0005508711626266263,-10.991587920602456,0.1104693616105929,34.181517313500535,6.839661421602473e-07,-26.1537212053978,True,-418.2807615971601,-425.7847711979468,-435.3715202539104,-438.85335240031026,236.66687470885068,3.30946834514722
9,age_randomized,strong_monsoon_start,Strong monsoon starts,96,2.0077245218313,0.07618476304739052,0.04859028194361128,96,0,18.05082827567334,0.22745317696378817,4.966554980248352,0.006697958313359512,3175,95,15.906291831646968,0.0003515544624267069,-11.889860550676076,0.12077857023394582,30.376187018132896,4.102895944636557e-06,-22.34839091003016,True,-406.42391417082115,-414.37706008664463,-421.6120076798876,-428.3726718739959,0.8366168436630487,3.4335901412332084
9,age_randomized,weak_monsoon_start,Weak monsoon starts,100,2.1558663676645975,0.03159368126374725,0.016396720655868825,100,0,233.36101144344946,0.22070610648744904,4.871118544084919,0.007394928205335636,3175,99,15.114798983107676,0.0005222315471308056,-11.098367702136784,0.1101315431159747,41.44742300369012,2.1714032163191246e-08,-33.419626895587385,True,-416.819520076436,-424.37691956798983,-437.54323157828105,-442.32636305802765,238.33332658138127,3.3043935313018764
10,age_randomized,strong_monsoon_start,Strong monsoon starts,96,2.0050725740202116,0.07778444311137772,0.04939012197560488,96,0,17.748586016357894,0.2517359328270512,6.083614068125341,0.0021323825506084295,3175,94,20.024761389705986,4.484131225764575e-05,-16.008330108735095,0.1536682125101788,29.9239393038971,5.0720744831919055e-06,-21.896143195794366,True,-405.4510387753727,-415.4634194702257,-420.41300842732124,-424.85820413133695,2.9662711379848776,4.107851367265733
10,age_randomized,weak_monsoon_start,Weak monsoon starts,100,2.2106644810096236,0.021195760847830435,0.008598280343931213,100,0,216.05486644435854,0.2323439532971452,5.398371263374599,0.00431552063348211,3175,99,14.629088709240364,0.0006657846056856418,-10.612657428269472,0.10659249360376666,37.63172380505159,1.3347132457739084e-07,-29.60392769694886,True,-417.5403467492206,-424.85489110384077,-436.3562086517464,-442.32636305802686,221.14778729870852,3.2071400490645985
11,age_randomized,strong_monsoon_start,Strong monsoon starts,96,2.0182175781716447,0.06938612277544491,0.04299140171965607,96,0,28.18957047937061,0.22131221044034863,4.701993071039343,0.008774466886395634,3175,95,14.844630024741036,0.0005977637120971404,-10.828198743770145,0.11271723221329108,29.307103516329562,6.771053179213056e-06,-21.279307408226828,True,-407.94936065394074,-415.37167566631126,-422.6029124121055,-428.3726718739954,7.513155768272952,3.3027051819522777
11,age_randomized,weak_monsoon_start,Weak monsoon starts,100,2.198156942873154,0.022595480903819236,0.009998000399920015,100,0,232.06302696199273,0.23634973671601542,5.586119804572981,0.0035611166467842694,3175,99,15.352660644147022,0.0004636733122795856,-11.33622936317613,0.11186468371597004,38.41882197178643,9.183589528333459e-08,-30.391025863683694,True,-418.69443975978254,-426.37077008185605,-437.90385074567575,-442.3263630580277,236.86275146862982,3.2966419363952584
