driver,driver_label,age_ka,value,source,extremum_type,half_cycle_index,anchor_phase_unwrapped_rad,anchor_phase_rad,anchor_phase_deg
obl,Obliquity,191.2,0.391687,data/raw/obl_1000_60_inter100.txt,minimum,12,37.69911184307752,0.0,0.0
obl,Obliquity,212.3,0.426836,data/raw/obl_1000_60_inter100.txt,maximum,13,40.840704496667314,3.1415926535897967,180.0000000000002
obl,Obliquity,232.0,0.385302,data/raw/obl_1000_60_inter100.txt,minimum,14,43.982297150257104,0.0,0.0
obl,Obliquity,251.5,0.426002,data/raw/obl_1000_60_inter100.txt,maximum,15,47.12388980384689,3.1415926535897896,179.9999999999998
obl,Obliquity,272.0,0.393401,data/raw/obl_1000_60_inter100.txt,minimum,16,50.26548245743669,0.0,0.0
obl,Obliquity,294.0,0.418537,data/raw/obl_1000_60_inter100.txt,maximum,17,53.40707511102649,3.1415926535897967,180.0000000000002
obl,Obliquity,313.9,0.393624,data/raw/obl_1000_60_inter100.txt,minimum,18,56.548667764616276,0.0,0.0
obl,Obliquity,332.7,0.423321,data/raw/obl_1000_60_inter100.txt,maximum,19,59.690260418206066,3.1415926535897896,179.9999999999998
obl,Obliquity,351.7,0.389261,data/raw/obl_1000_60_inter100.txt,minimum,20,62.83185307179586,0.0,0.0
obl,Obliquity,372.0,0.423886,data/raw/obl_1000_60_inter100.txt,maximum,21,65.97344572538566,3.1415926535897967,180.0000000000002
obl,Obliquity,394.4,0.39149,data/raw/obl_1000_60_inter100.txt,minimum,22,69.11503837897544,6.283185307179579,359.9999999999996
obl,Obliquity,416.1,0.423474,data/raw/obl_1000_60_inter100.txt,maximum,23,72.25663103256524,3.1415926535897896,179.9999999999998
obl,Obliquity,435.8,0.391605,data/raw/obl_1000_60_inter100.txt,minimum,24,75.39822368615503,0.0,0.0
obl,Obliquity,454.8,0.419696,data/raw/obl_1000_60_inter100.txt,maximum,25,78.53981633974483,3.1415926535897967,180.0000000000002
obl,Obliquity,473.9,0.397001,data/raw/obl_1000_60_inter100.txt,minimum,26,81.68140899333463,7.105427357601002e-15,4.0711099922733015e-13
obl,Obliquity,494.5,0.416773,data/raw/obl_1000_60_inter100.txt,maximum,27,84.82300164692441,3.1415926535897896,179.9999999999998
obl,Obliquity,515.9,0.394469,data/raw/obl_1000_60_inter100.txt,minimum,28,87.96459430051421,0.0,0.0
obl,Obliquity,536.3,0.422822,data/raw/obl_1000_60_inter100.txt,maximum,29,91.106186954104,3.1415926535897967,180.0000000000002
obl,Obliquity,556.5,0.391494,data/raw/obl_1000_60_inter100.txt,minimum,30,94.24777960769379,6.283185307179579,359.9999999999996
obl,Obliquity,577.7,0.419984,data/raw/obl_1000_60_inter100.txt,maximum,31,97.38937226128358,3.1415926535897896,179.9999999999998
obl,Obliquity,600.0,0.396325,data/raw/obl_1000_60_inter100.txt,minimum,32,100.53096491487338,0.0,0.0
obl,Obliquity,620.4,0.416653,data/raw/obl_1000_60_inter100.txt,maximum,33,103.67255756846318,3.1415926535897967,180.0000000000002
obl,Obliquity,639.3,0.398811,data/raw/obl_1000_60_inter100.txt,minimum,34,106.81415022205297,7.105427357601002e-15,4.0711099922733015e-13
obl,Obliquity,658.1,0.41477,data/raw/obl_1000_60_inter100.txt,maximum,35,109.95574287564276,3.1415926535897896,179.9999999999998
obl,Obliquity,678.8,0.398747,data/raw/obl_1000_60_inter100.txt,minimum,36,113.09733552923255,0.0,0.0
obl,Obliquity,700.8,0.417831,data/raw/obl_1000_60_inter100.txt,maximum,37,116.23892818282235,3.1415926535897967,180.0000000000002
obl,Obliquity,721.6,0.39443,data/raw/obl_1000_60_inter100.txt,minimum,38,119.38052083641213,6.283185307179579,359.9999999999996
obl,Obliquity,742.4,0.418988,data/raw/obl_1000_60_inter100.txt,maximum,39,122.52211349000193,3.1415926535897896,179.9999999999998
obl,Obliquity,765.3,0.397347,data/raw/obl_1000_60_inter100.txt,minimum,40,125.66370614359172,0.0,0.0
obl,Obliquity,787.5,0.416296,data/raw/obl_1000_60_inter100.txt,maximum,41,128.8052987971815,3.1415926535897825,179.99999999999937
obl,Obliquity,806.9,0.399214,data/raw/obl_1000_60_inter100.txt,minimum,42,131.94689145077132,7.105427357601002e-15,4.0711099922733015e-13
obl,Obliquity,825.3,0.413485,data/raw/obl_1000_60_inter100.txt,maximum,43,135.0884841043611,3.1415926535897896,179.9999999999998
obl,Obliquity,844.6,0.401133,data/raw/obl_1000_60_inter100.txt,minimum,44,138.23007675795088,6.283185307179572,359.9999999999992
obl,Obliquity,867.3,0.414848,data/raw/obl_1000_60_inter100.txt,maximum,45,141.3716694115407,3.1415926535897967,180.0000000000002
obl,Obliquity,888.6,0.395404,data/raw/obl_1000_60_inter100.txt,minimum,46,144.51326206513048,6.283185307179579,359.9999999999996
obl,Obliquity,909.0,0.421009,data/raw/obl_1000_60_inter100.txt,maximum,47,147.6548547187203,3.1415926535898038,180.0000000000006
obl,Obliquity,929.9,0.394746,data/raw/obl_1000_60_inter100.txt,minimum,48,150.79644737231007,0.0,0.0
obl,Obliquity,952.8,0.417493,data/raw/obl_1000_60_inter100.txt,maximum,49,153.93804002589985,3.1415926535897825,179.99999999999937
obl,Obliquity,974.6,0.396546,data/raw/obl_1000_60_inter100.txt,minimum,50,157.07963267948966,7.105427357601002e-15,4.0711099922733015e-13
obl,Obliquity,993.8,0.417562,data/raw/obl_1000_60_inter100.txt,maximum,51,160.22122533307945,3.1415926535897896,179.9999999999998
