dataset_id,dataset_label,event_index,event_age_ka,analysis_start_ka,analysis_end_ka,source_event_id,cheng_event_age_ka,ch4_event_age_ka,event_label,source
rousseau2023_weak_monsoon_starts,Rousseau 2023 weak monsoon starts,17,48.47,0.0,640.0,17,,,,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
rousseau2023_weak_monsoon_starts,Rousseau 2023 weak monsoon starts,18,48.92,0.0,640.0,18,,,,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
rousseau2023_weak_monsoon_starts,Rousseau 2023 weak monsoon starts,19,55.23,0.0,640.0,19,,,,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
rousseau2023_weak_monsoon_starts,Rousseau 2023 weak monsoon starts,20,56.32,0.0,640.0,20,,,,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
rousseau2023_weak_monsoon_starts,Rousseau 2023 weak monsoon starts,21,68.655,0.0,640.0,21,,,,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
rousseau2023_weak_monsoon_starts,Rousseau 2023 weak monsoon starts,22,69.575,0.0,640.0,22,,,,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
rousseau2023_weak_monsoon_starts,Rousseau 2023 weak monsoon starts,23,70.155,0.0,640.0,23,,,,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
rousseau2023_weak_monsoon_starts,Rousseau 2023 weak monsoon starts,24,73.4,0.0,640.0,24,,,,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
rousseau2023_weak_monsoon_starts,Rousseau 2023 weak monsoon starts,25,77.51,0.0,640.0,25,,,,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
rousseau2023_weak_monsoon_starts,Rousseau 2023 weak monsoon starts,26,88.425,0.0,640.0,26,,,,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
rousseau2023_weak_monsoon_starts,Rousseau 2023 weak monsoon starts,27,98.65,0.0,640.0,27,,,,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
rousseau2023_weak_monsoon_starts,Rousseau 2023 weak monsoon starts,28,100.35,0.0,640.0,28,,,,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
rousseau2023_weak_monsoon_starts,Rousseau 2023 weak monsoon starts,29,105.75,0.0,640.0,29,,,,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
rousseau2023_weak_monsoon_starts,Rousseau 2023 weak monsoon starts,30,106.35,0.0,640.0,30,,,,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
rousseau2023_weak_monsoon_starts,Rousseau 2023 weak monsoon starts,31,117.45,0.0,640.0,31,,,,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
rousseau2023_weak_monsoon_starts,Rousseau 2023 weak monsoon starts,32,120.55,0.0,640.0,32,,,,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
rousseau2023_weak_monsoon_starts,Rousseau 2023 weak monsoon starts,33,133.25,0.0,640.0,33,,,,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
rousseau2023_weak_monsoon_starts,Rousseau 2023 weak monsoon starts,34,135.55,0.0,640.0,34,,,,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
rousseau2023_weak_monsoon_starts,Rousseau 2023 weak monsoon starts,35,139.35,0.0,640.0,35,,,,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
rousseau2023_weak_monsoon_starts,Rousseau 2023 weak monsoon starts,36,142.55,0.0,640.0,36,,,,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
rousseau2023_weak_monsoon_starts,Rousseau 2023 weak monsoon starts,37,143.85,0.0,640.0,37,,,,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
rousseau2023_weak_monsoon_starts,Rousseau 2023 weak monsoon starts,38,147.05,0.0,640.0,38,,,,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
rousseau2023_weak_monsoon_starts,Rousseau 2023 weak monsoon starts,39,151.05,0.0,640.0,39,,,,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
rousseau2023_weak_monsoon_starts,Rousseau 2023 weak monsoon starts,40,158.95,0.0,640.0,40,,,,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
rousseau2023_weak_monsoon_starts,Rousseau 2023 weak monsoon starts,41,162.0,0.0,640.0,41,,,,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
rousseau2023_weak_monsoon_starts,Rousseau 2023 weak monsoon starts,42,165.15,0.0,640.0,42,,,,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
rousseau2023_weak_monsoon_starts,Rousseau 2023 weak monsoon starts,43,166.8,0.0,640.0,43,,,,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
rousseau2023_weak_monsoon_starts,Rousseau 2023 weak monsoon starts,44,170.25,0.0,640.0,44,,,,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
rousseau2023_weak_monsoon_starts,Rousseau 2023 weak monsoon starts,45,171.05,0.0,640.0,45,,,,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
rousseau2023_weak_monsoon_starts,Rousseau 2023 weak monsoon starts,46,174.85,0.0,640.0,46,,,,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
