dataset_id,window_center_ka,observed_event_count,expected_event_count,fixed_n_mc_q025,fixed_n_mc_q500,fixed_n_mc_q975
rousseau2023_strong_monsoon_starts,61.79999999999981,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,61.999999999999815,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,62.19999999999982,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,62.399999999999814,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,62.59999999999981,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,62.79999999999981,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,62.999999999999815,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,63.19999999999981,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,63.39999999999981,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,63.59999999999981,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,63.79999999999981,8.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,63.99999999999981,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,64.1999999999998,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,64.3999999999998,6.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,64.59999999999981,6.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,64.79999999999981,6.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,64.9999999999998,6.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,65.1999999999998,6.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,65.3999999999998,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,65.5999999999998,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,65.7999999999998,6.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,65.9999999999998,6.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,66.1999999999998,6.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,66.3999999999998,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,66.5999999999998,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,66.7999999999998,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,66.9999999999998,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,67.19999999999979,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,67.39999999999979,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,67.5999999999998,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,67.7999999999998,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,67.9999999999998,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,68.19999999999979,7.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,68.39999999999979,6.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,68.5999999999998,6.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,68.79999999999978,6.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,68.99999999999979,6.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,69.19999999999979,6.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,69.39999999999979,6.0,3.0,0.0,3.0,7.0
rousseau2023_strong_monsoon_starts,69.5999999999998,6.0,3.0,0.0,3.0,7.0
