order,start_time_ka_BP,original_value_in_table,transition_type,ks_window_kyr,relation_to_other_ks_window,paired_other_window_age_ka,difference_0p4_minus_0p6_ka,source_table,source_pdf_page,source_row_index_in_table,event_age_ka,event_index,event_type,event_label,ks_window_id,ks_window_label,source
58,315.45,315.45,strong_monsoon_start,0.4-4,common_same_date,315.45,0.0,Rousseau et al. 2023 Scientific Reports Table 1,7,124,315.45,58,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
59,316.35,316.35,strong_monsoon_start,0.4-4,date_shifted_relative_to_other_window,316.25,0.1,Rousseau et al. 2023 Scientific Reports Table 1,7,125,316.35,59,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
60,332.45,332.45,strong_monsoon_start,0.4-4,common_same_date,332.45,0.0,Rousseau et al. 2023 Scientific Reports Table 1,7,128,332.45,60,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
61,334.05,334.05,strong_monsoon_start,0.4-4,date_shifted_relative_to_other_window,333.85,0.2,Rousseau et al. 2023 Scientific Reports Table 1,7,129,334.05,61,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
62,337.35,337.35,strong_monsoon_start,0.4-4,common_same_date,337.35,0.0,Rousseau et al. 2023 Scientific Reports Table 1,7,130,337.35,62,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
63,351.45,351.45,strong_monsoon_start,0.4-4,date_shifted_relative_to_other_window,351.15,0.3,Rousseau et al. 2023 Scientific Reports Table 1,7,133,351.45,63,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
64,365.65,365.65,strong_monsoon_start,0.4-4,common_same_date,365.65,0.0,Rousseau et al. 2023 Scientific Reports Table 1,7,135,365.65,64,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
65,368.1,368.1,strong_monsoon_start,0.4-4,common_same_date,368.1,0.0,Rousseau et al. 2023 Scientific Reports Table 1,7,137,368.1,65,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
66,370.75,370.75,strong_monsoon_start,0.4-4,common_same_date,370.75,0.0,Rousseau et al. 2023 Scientific Reports Table 1,7,140,370.75,66,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
67,375.95,375.95,strong_monsoon_start,0.4-4,additional_in_this_window,,,Rousseau et al. 2023 Scientific Reports Table 1,7,143,375.95,67,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
