analysis_type,dataset_id,dataset_label,curve_id,curve_label,lag_ka,reduced_terms,full_terms,ok,n_bins,n_events,df,loglik_reduced,loglik_full,ll_gain_nats,info_nats_per_bin,info_bits_per_bin,info_bits_per_event,LR_statistic,LR_p_value,delta_AICc_full_minus_reduced,expected_events_reduced,expected_events_full,max_rate_full_per_kyr,converged_reduced,converged_full,LR_q_value_BH
core_component_diagnostic_0_20kyr,weak_monsoon_start,Weak monsoon starts,full_after_climate_state,Full predictive model vs climate-state,1.2,same_type_history_count+cheng_log_resolution_scaled+lr04_lag+co2_lag,same_type_history_count+cheng_log_resolution_scaled+lr04_lag+co2_lag+pre_phase_sin_lag+pre_phase_cos_lag,True,3100,96,2,-413.89956350000546,-406.80814440275907,7.091419097246387,0.0022875545474988347,0.0033002436014395657,0.10657036629648597,14.182838194492774,0.0008322155324664294,-10.166008057123804,96.00022207395924,96.00004343228117,0.9931497442570878,True,True,0.009279607510901212
core_component_diagnostic_0_20kyr,weak_monsoon_start,Weak monsoon starts,lr04_after_ep_baseline,LR04 vs EP baseline,1.4,same_type_history_count+cheng_log_resolution_scaled,same_type_history_count+cheng_log_resolution_scaled+lr04_after_ep_baseline_lag,True,3100,96,1,-423.55222152693216,-418.4494937369516,5.102727789980577,0.0016460412225743795,0.002374735508906864,0.07668416747511748,10.205455579961153,0.0014002579637662602,-8.200283446863295,96.00000426819236,96.00005477266343,0.6634881073714861,True,True,0.017678256792549033
core_component_diagnostic_0_20kyr,weak_monsoon_start,Weak monsoon starts,co2_after_ep_baseline,CO2 vs EP baseline,1.4,same_type_history_count+cheng_log_resolution_scaled,same_type_history_count+cheng_log_resolution_scaled+co2_after_ep_baseline_lag,True,3100,96,1,-423.55222152693216,-414.3773771870623,9.174844339869878,0.0029596272064096383,0.004269839493567242,0.13788023364644217,18.349688679739756,1.838490237430033e-05,-16.3445165466419,96.00000426819236,95.99999289952434,0.8507166279426668,True,True,0.00023210939247554166
core_component_diagnostic_0_20kyr,weak_monsoon_start,Weak monsoon starts,full_after_climate_state,Full predictive model vs climate-state,1.4,same_type_history_count+cheng_log_resolution_scaled+lr04_lag+co2_lag,same_type_history_count+cheng_log_resolution_scaled+lr04_lag+co2_lag+pre_phase_sin_lag+pre_phase_cos_lag,True,3100,96,2,-414.1743213154624,-407.12617270283033,7.048148612632076,0.0022735963266555083,0.003280106145449266,0.10592009428013255,14.096297225264152,0.0008690163547919533,-10.079467087895182,96.00000300297916,96.00006198565406,0.9510375415133793,True,True,0.009279607510901212
core_component_diagnostic_0_20kyr,weak_monsoon_start,Weak monsoon starts,lr04_after_ep_baseline,LR04 vs EP baseline,1.6,same_type_history_count+cheng_log_resolution_scaled,same_type_history_count+cheng_log_resolution_scaled+lr04_after_ep_baseline_lag,True,3100,96,1,-423.55222152693216,-418.75186747742134,4.8003540495108155,0.0015485013062938114,0.002234015155400164,0.07214007272646362,9.600708099021631,0.0019450235058578952,-7.595535965923773,96.00000426819236,95.9999998706758,0.6438069710605862,True,True,0.021827486010183045
core_component_diagnostic_0_20kyr,weak_monsoon_start,Weak monsoon starts,co2_after_ep_baseline,CO2 vs EP baseline,1.6,same_type_history_count+cheng_log_resolution_scaled,same_type_history_count+cheng_log_resolution_scaled+co2_after_ep_baseline_lag,True,3100,96,1,-423.55222152693216,-414.65592391492726,8.8962976120049,0.002869773423227387,0.004140207886165096,0.13369421299074788,17.7925952240098,2.463400861513339e-05,-15.787423090911943,96.00000426819236,95.99996669499183,0.8129043776762322,True,True,0.0002764483189031636
core_component_diagnostic_0_20kyr,weak_monsoon_start,Weak monsoon starts,full_after_climate_state,Full predictive model vs climate-state,1.6,same_type_history_count+cheng_log_resolution_scaled+lr04_lag+co2_lag,same_type_history_count+cheng_log_resolution_scaled+lr04_lag+co2_lag+pre_phase_sin_lag+pre_phase_cos_lag,True,3100,96,2,-414.39900803544475,-407.39292067534603,7.006087360098718,0.0022600281806770058,0.003260531448532023,0.1052879946921799,14.012174720197436,0.0009063478727597366,-9.995344582828466,95.99989986656804,96.00003215066005,0.934380892857365,True,True,0.009279607510901212
core_component_diagnostic_0_20kyr,weak_monsoon_start,Weak monsoon starts,lr04_after_ep_baseline,LR04 vs EP baseline,1.8,same_type_history_count+cheng_log_resolution_scaled,same_type_history_count+cheng_log_resolution_scaled+lr04_after_ep_baseline_lag,True,3100,96,1,-423.55222152693216,-419.0330719866561,4.519149540276032,0.001457790174282591,0.002103146655094152,0.06791411073741532,9.038299080552065,0.0026438150785532363,-7.033126947454207,96.00000426819236,95.99999772533646,0.6416548556868718,True,True,0.026702532293387687
core_component_diagnostic_0_20kyr,weak_monsoon_start,Weak monsoon starts,co2_after_ep_baseline,CO2 vs EP baseline,1.8,same_type_history_count+cheng_log_resolution_scaled,same_type_history_count+cheng_log_resolution_scaled+co2_after_ep_baseline_lag,True,3100,96,1,-423.55222152693216,-415.2535897422998,8.298631784632335,0.0026769779950426885,0.0038620628780169667,0.12471244710263123,16.59726356926467,4.621765776928333e-05,-14.592091436166811,96.00000426819236,96.00000235977635,0.8212606739449815,True,True,0.0004667983434697616
core_component_diagnostic_0_20kyr,weak_monsoon_start,Weak monsoon starts,full_after_climate_state,Full predictive model vs climate-state,1.8,same_type_history_count+cheng_log_resolution_scaled+lr04_lag+co2_lag,same_type_history_count+cheng_log_resolution_scaled+lr04_lag+co2_lag+pre_phase_sin_lag+pre_phase_cos_lag,True,3100,96,2,-415.031860737897,-408.08709618214715,6.944764555749828,0.0022402466308870414,0.0032319927047489427,0.10436643109085127,13.889529111499655,0.0009636671955908827,-9.872698974130685,96.00001172333039,96.00012728229257,0.9025770154337671,True,True,0.009279607510901212
