variant_id,variant_label,event_type,detected_index,published_index,detected_age_ka,published_age_ka,age_error_ka,abs_age_error_ka
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,193,187,556.9153,556.95,-0.034700000000043474,0.034700000000043474
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,9,98,17.869999999999997,17.835,0.03499999999999659,0.03499999999999659
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,34,111,45.765,45.73,0.035000000000003695,0.035000000000003695
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,187,184,534.96475,535.0,-0.0352500000000191,0.0352500000000191
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,64,28,108.51467469932942,108.55,-0.035325300670578486,0.035325300670578486
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,52,22,75.24395,75.28,-0.036050000000003024,0.036050000000003024
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,5,2,14.65325,14.617,0.036249999999999005,0.036249999999999005
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,36,113,48.882400000000004,48.92,-0.037599999999997635,0.037599999999997635
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,129,154,252.18849999999998,252.15,0.03849999999997067,0.03849999999997067
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,35,12,47.211,47.25,-0.03900000000000148,0.03900000000000148
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,114,147,209.21,209.25,-0.03999999999999204,0.03999999999999204
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,99,139,170.29000000000002,170.25,0.040000000000020464,0.040000000000020464
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,13,3,23.642,23.685,-0.04299999999999926,0.04299999999999926
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,179,180,479.09327296170926,479.05,0.0432729617092491,0.0432729617092491
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,161,172,398.8955859752142,398.85,0.04558597521418051,0.04558597521418051
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,100,140,171.1,171.05,0.04999999999998295,0.04999999999998295
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,24,106,34.699,34.75,-0.05100000000000193,0.05100000000000193
