event_age_ka,event_index,event_type,event_label,event_class,event_class_label,catalogue_id,catalogue_label,catalogue_short_label,source
334.05,61,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
337.35,62,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
351.45,63,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
365.65,64,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
368.1,65,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
370.75,66,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
375.95,67,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
377.45,68,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
390.8,69,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
393.6,70,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
412.25,71,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
426.05,72,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
447.4,73,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
449.45,74,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
458.9,75,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
463.15,76,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
465.95,77,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
472.75,78,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
483.65,79,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
504.15,80,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
531.75,81,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
548.25,82,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
553.55,83,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
555.65,84,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
559.15,85,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
561.25,86,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
562.25,87,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
580.3,88,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
582.95,89,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
593.9,90,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
604.0,91,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
625.65,92,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
627.55,93,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
630.1,94,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
633.3,95,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
638.1,96,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
3.5,1,weak_monsoon_start,Weak monsoon starts,weak_or_gs_start,Weak/GS start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
12.779,2,weak_monsoon_start,Weak monsoon starts,weak_or_gs_start,Weak/GS start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
17.835,3,weak_monsoon_start,Weak monsoon starts,weak_or_gs_start,Weak/GS start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
24.59,4,weak_monsoon_start,Weak monsoon starts,weak_or_gs_start,Weak/GS start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
26.65,5,weak_monsoon_start,Weak monsoon starts,weak_or_gs_start,Weak/GS start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
27.555,6,weak_monsoon_start,Weak monsoon starts,weak_or_gs_start,Weak/GS start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
28.715,7,weak_monsoon_start,Weak monsoon starts,weak_or_gs_start,Weak/GS start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
30.42,8,weak_monsoon_start,Weak monsoon starts,weak_or_gs_start,Weak/GS start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
